,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,ict,ict_pred
0,Leroy Fer,7,3,3674,3,8,135,177.1,201.1872545221311
1,Roberto Pereyra,13,10,5103,3,10,238,321.1,358.15563458558466
2,Lukasz Fabianski,0,0,3240,1,7,116,75.9,82.64824153006498
3,Marko Grujic,0,0,30,3,0,2,2.9,1.8776146895127228
4,Wes Morgan,1,1,3780,2,9,102,120.6,121.61209110725873
5,Ciaran Clark,3,1,2242,2,5,92,86.7,101.87815351017201
6,Memphis Depay,0,0,24,5,0,3,0.7,2.604776129054329
7,Loris Karius,0,0,900,1,3,32,15.0,22.283713651745558
8,Morgan Gibbs-White,0,1,197,3,0,13,8.9,12.190711725194134
9,Andrew Robertson,0,0,692,2,1,14,18.3,21.056014367828
10,Jorge Luiz Frello Filho,2,0,2463,3,12,79,114.1,113.89625212448108
11,Joel Ward,0,2,5131,2,11,129,160.4,165.48644977611437
12,Roberto Firmino,30,24,7178,5,40,438,792.7,812.8730477354825
13,Sam Byram,0,0,258,2,1,7,9.6,7.493889714542828
14,Jonjoe Kenny,0,3,1962,2,6,64,70.6,84.02985517660588
15,Michail Antonio,5,0,681,4,2,48,75.9,68.29938261944253
16,Zlatan Ibrahimovic,15,6,2250,5,10,151,303.1,246.83376179362276
17,Jonny Evans,2,1,2817,2,5,86,103.8,105.92297520870515
18,Sergio Romero,0,0,180,1,2,23,7.7,-6.091789725791951
19,Heurelho Gomes,0,0,5465,1,12,177,130.0,144.98197702807633
20,Nordin Amrabat,0,0,296,4,0,10,12.4,11.052821753443048
21,Sadio Mané,16,7,2531,4,10,178,284.5,290.4033435404004
22,Demarai Gray,1,4,1006,4,4,57,70.8,76.63436502314093
23,Danilo Luiz da Silva,4,2,1962,2,11,136,103.3,114.70791984007128
24,Danny Williams,0,0,368,3,0,9,9.7,11.423005095936542
25,Mark Noble,7,2,5781,3,18,183,229.7,270.3947157927419
26,Wahbi Khazri,0,0,466,4,1,15,28.6,17.812948712666575
27,Antonio Barragán,0,0,90,2,0,4,2.2,1.907595693344251
28,Orestis Karnezis,0,0,1021,1,3,44,22.6,26.992161283874495
29,Raheem Sterling,12,14,2896,4,12,199,295.4,322.23227923569306
30,Paul Pogba,4,3,1800,3,7,83,167.7,125.36545551285599
31,Ben Hamer,0,0,192,1,0,4,7.8,5.758335892876774
32,Georginio Wijnaldum,9,12,7682,3,41,322,408.6,471.61938652152236
33,Junior Stanislas,12,9,2752,4,6,182,253.1,259.3644213753065
34,Mark Noble,5,0,3529,3,11,121,145.1,155.89788731247856
35,Daley Blind,1,2,2101,2,12,117,123.0,93.29510805939242
36,Angelo Ogbonna,0,0,2115,2,4,47,59.6,58.6787163286649
37,Michel Vorm,0,0,506,1,2,20,8.8,9.94100406408861
38,Ramiro Funes Mori,0,1,1543,2,7,69,54.0,57.39572967626944
39,Lucas Pérez,0,0,64,5,0,4,4.1,4.0368589744763135
40,Tom Cleverley,1,5,3748,3,9,113,170.8,169.1591550170931
41,Charlie Austin,12,1,1530,5,7,115,167.4,158.88953659110314
42,Christopher Schindler,1,3,5534,2,13,163,180.5,194.51865338635378
43,Jonas Olsson,0,0,500,2,1,9,10.7,15.32412120255195
44,Harry Winks,1,0,128,3,0,13,11.7,13.651469966299242
45,Nemanja Matic,0,7,1995,3,12,80,90.7,136.34893270928808
46,Patrick van Aanholt,4,1,2223,2,5,90,135.3,111.22575213768975
47,Brendan Galloway,0,0,247,2,1,9,7.5,7.118720130500094
48,Andrew Surman,2,5,3379,3,8,115,125.8,167.00819101805337
49,Chris Brunt,3,3,1809,3,4,86,104.8,108.60477669176154
50,Laurent Koscielny,2,1,3355,2,13,144,134.5,129.68834282188325
51,Aaron Mooy,4,2,2146,3,7,87,141.4,125.62657343145904
52,Olivier Giroud,16,6,1761,5,7,164,242.3,222.58136105613636
53,Alexis Sánchez,18,10,2535,4,9,210,371.2,320.255495171963
54,Stefano Okaka,5,0,1042,5,2,54,98.2,75.0442621885233
55,Álvaro Arbeloa,0,0,258,2,0,0,7.3,7.630686964531305
56,Jordi Amat,0,0,630,2,1,11,23.2,19.243818735083487
57,Ryan Fraser,13,21,5796,4,15,318,463.7,475.3418194733587
58,Steve Cook,5,2,6364,2,16,216,292.7,251.3869721996113
59,Florian Lejeune,0,0,1383,2,3,41,48.0,40.55226584029253
60,Kevin Long,1,2,1773,2,4,62,84.2,79.46659019376031
61,Steven Davis,0,0,336,3,0,10,15.8,10.539343182224037
62,Robbie Brady,1,4,1066,3,2,58,80.4,71.51612116528038
63,Danny Rose,2,8,3317,2,16,166,197.9,189.70903897973426
64,Heurelho Gomes,0,0,5465,1,12,177,130.0,144.98197702807633
65,Gastón Ramírez,2,3,1189,4,6,53,93.4,89.51706597595887
66,Danilo Luiz da Silva,1,1,740,2,6,54,40.0,38.37615161131855
67,Emerson Hyndman,0,0,58,3,0,1,1.8,2.692362438234074
68,Pascal Groß,9,10,4084,4,11,219,344.3,310.0251815562006
69,Marc Navarro,0,0,83,2,0,1,2.2,1.6606249237557735
70,Bojan Krkic,2,0,363,5,0,20,20.4,29.275954980782743
71,Johann Berg Gudmundsson,1,2,922,4,3,41,59.3,57.29875427978216
72,Alexandre Lacazette,13,4,2036,5,8,136,239.2,205.28865432868065
73,Adam Lallana,7,7,2248,4,8,139,203.7,199.24412387454015
74,Ryan Mason,1,0,927,3,0,26,39.8,36.04888543412915
75,Kevin De Bruyne,1,3,356,4,0,39,41.7,38.3086309101826
76,Matthew Lowton,0,1,1980,2,5,53,83.4,65.82319770742205
77,Stefan Johansen,0,0,194,3,0,7,4.6,6.577992490705816
78,Shkodran Mustafi,2,2,2094,2,7,85,95.5,100.1781585429722
79,Phil Jones,0,0,1044,2,3,39,41.3,31.959513542012793
80,Marcos Rojo,1,0,1912,2,8,78,72.7,69.68161772486327
81,Pedro Obiang,3,2,3141,3,9,106,103.8,143.7400649840585
82,Jamaal Lascelles,2,0,947,2,3,44,39.8,48.24768795895649
83,Patrick van Aanholt,12,4,7786,2,23,333,422.0,380.16652353763453
84,Wes Morgan,1,1,4230,2,9,108,133.4,135.0439667429086
85,Manolo Gabbiadini,5,1,871,5,4,49,75.4,77.6565507652209
86,Mario Lemina,0,0,584,3,3,20,25.4,24.84688392191181
87,Marcus Rashford,14,9,4015,5,19,210,353.0,372.72155011613535
88,Marcus Rashford,5,3,1678,5,7,75,145.1,126.20116495074433
89,Joe Bennett,0,1,2189,2,7,67,64.9,73.25983564403057
90,Matthew Lowton,0,5,6165,2,19,193,242.1,216.3948000178255
91,Leonardo Ulloa,1,0,529,5,2,33,46.4,27.13509408299118
92,Charlie Austin,13,2,2222,5,12,142,223.6,208.08850463584795
93,Simon Mignolet,0,0,4230,1,16,177,74.0,101.82913285727653
94,Cédric Soares,0,0,552,2,2,24,30.2,17.20171783744142
95,Bakary Sako,0,0,63,4,0,4,3.3,4.208884486065585
96,Dean Marney,1,2,1689,3,5,51,37.6,80.61283955028688
97,Matteo Darmian,0,0,762,2,4,35,19.5,24.71998458301406
98,Aaron Ramsey,0,1,248,3,0,11,25.9,13.789182656180017
99,Bernard Anício Caldeira Duarte,1,4,1629,4,9,75,98.8,113.19142113634202
100,Jairo Riedewald,0,0,435,2,2,23,10.6,13.463503147700067
101,Beram Kayal,0,0,84,3,0,5,4.0,3.444000268143016
102,Demarai Gray,1,3,525,4,1,37,35.7,46.28273380581935
103,Sergio Agüero,11,1,1347,5,2,94,171.2,136.53130479927574
104,Christopher Schindler,0,2,3444,2,9,109,125.5,112.8902898762936
105,Granit Xhaka,1,0,498,3,2,17,24.7,28.695890434753125
106,Nathaniel Chalobah,0,0,712,3,3,23,28.8,27.890299807645107
107,Seamus Coleman,4,5,3351,2,14,173,161.5,188.88969252383484
108,Neil Taylor,0,1,920,2,2,22,24.6,36.03166262090944
109,Andrew Robertson,1,2,2673,2,5,73,94.7,102.80061554056769
110,Loris Karius,0,0,900,1,3,32,15.0,22.283713651745558
111,Neil Etheridge,0,0,1800,1,5,89,65.6,47.404664194314506
112,Benjamin Mendy,0,1,298,2,2,17,19.7,14.98239291565811
113,Ainsley Maitland-Niles,0,0,2,3,0,1,0.2,1.0570469532388218
114,Ashley Fletcher,0,0,184,5,0,7,6.7,8.428914776151949
115,Thibaut Courtois,0,0,1530,1,10,83,23.7,18.45838548789456
116,Pape Souaré,0,0,270,2,0,6,9.7,8.025520379602469
117,Emerson Palmieri dos Santos,0,1,278,2,1,14,13.8,14.84029973675375
118,Ashley Williams,2,3,4990,2,18,183,202.8,194.20254204948475
119,Manuel Lanzini,3,0,1147,4,4,60,76.6,68.38150992102015
120,Christian Eriksen,8,20,3159,4,16,230,389.7,364.4324032453223
121,Joshua King,1,0,343,5,1,18,24.1,20.801632172919206
122,Dean Whitehead,0,0,65,3,0,3,0.7,2.895179902831533
123,Eric Dier,4,2,6993,3,36,219,282.5,296.3917743337211
124,Sol Bamba,0,0,90,2,0,7,0.8,1.907595693344251
125,Jeff Hendrick,5,3,5386,3,19,177,200.6,255.55642008440185
126,Reiss Nelson,0,0,18,4,0,3,1.3,2.901427861543075
127,Darren Fletcher,0,0,701,3,3,21,16.1,27.63280641481777
128,Bruno Martins Indi,1,0,3634,2,11,111,113.9,111.03066201122232
129,Hugo Lloris,0,0,5254,1,26,247,113.2,115.86836274415856
130,Mohamed Salah,13,4,1186,4,5,127,195.1,182.4972376406477
131,Mohamed Salah,35,14,3486,4,19,345,540.4,565.3828276885934
132,Sandro Ramírez,0,0,275,5,1,10,9.8,11.278337682055458
133,Chris Wood,11,1,2577,5,13,136,181.9,193.96463842629714
134,Stefano Okaka,0,0,13,5,0,0,3.2,2.213504727266674
135,James Ward-Prowse,7,9,3888,3,11,185,320.9,273.5841641036987
136,Idrissa Gueye,3,4,6852,3,22,202,275.4,295.39603103825
137,Javier Manquillo,0,4,2855,2,8,102,84.7,117.04778688019044
138,Asmir Begovic,0,0,2070,1,4,74,47.0,57.55988957003861
139,Artur Boruc,0,0,2880,1,8,117,75.3,71.98382527343244
140,Bruno Martins Indi,0,0,1080,2,4,46,33.3,33.90301817564054
141,Ander Herrera,0,0,99,3,0,3,2.6,3.875594827775977
142,James Tarkowski,3,1,4644,2,15,174,217.8,170.4890452159883
143,Stefano Okaka,2,0,287,5,1,20,28.4,26.11624372962138
144,Davinson Sánchez,0,0,952,2,5,43,27.7,31.235586048701208
145,Danny Welbeck,0,0,16,5,0,3,0.4,2.320108937590213
146,Claudio Bravo,0,0,1710,1,4,59,26.7,47.146667109091965
147,Andy Carroll,10,3,2320,5,6,113,194.4,182.08791208219677
148,Rob Holding,0,0,1073,2,5,40,42.9,34.76443924411953
149,Jordan Rhodes,0,0,102,5,0,4,9.2,5.4114996294422575
150,Harrison Reed,0,0,58,3,0,2,1.0,2.692362438234074
151,Aaron Wan-Bissaka,0,1,971,2,4,43,46.3,38.22992851244038
152,Joel Matip,3,0,4727,2,20,206,198.1,174.56891902669253
153,Emerson Palmieri dos Santos,0,1,938,2,3,36,43.8,36.82104675955387
154,Cuco Martina,0,0,166,2,1,12,6.0,4.298128219065916
155,Joshua King,18,4,3777,5,13,216,312.6,309.80651933665774
156,Asmir Begovic,0,0,5400,1,11,174,123.0,146.4119569427036
157,Jordon Ibe,1,6,2579,4,7,103,189.5,153.24675730173095
158,Javier Manquillo,0,1,1757,2,4,49,45.9,59.5825508036186
159,Michael Hefele,0,0,32,2,0,1,0.4,-0.16100742146832925
160,Jonny Evans,1,0,1469,2,3,44,42.8,52.373804887303706
161,Marcos Rojo,1,0,2405,2,11,99,93.0,86.54197847471625
162,Marcus Bettinelli,0,0,630,1,0,15,19.4,24.161683111942708
163,Jack Rodwell,0,1,379,3,0,14,10.8,17.83292653416647
164,Ryan Bertrand,0,1,707,2,5,38,27.0,29.245508767939718
165,Andrew Robertson,0,0,693,2,1,16,18.3,21.084972047213988
166,Danny Rose,2,3,1530,2,8,84,99.6,90.51527260275085
167,Scott Arfield,1,2,1325,3,4,48,65.6,68.84799035284122
168,Marcos Rojo,1,0,2212,2,10,95,87.2,80.22360913823216
169,Bojan Krkic,3,0,475,5,0,30,32.1,40.785787474758344
170,Roberto Firmino,0,0,180,5,0,9,16.2,8.280010456532196
171,Aaron Cresswell,1,9,5604,2,15,187,237.8,240.6020919577898
172,Jérémy Pied,0,0,219,2,0,7,11.0,6.335287898564832
173,Sean Morrison,0,2,990,2,2,27,49.9,46.306919433301076
174,Roberto Firmino,26,19,5535,5,25,355,651.1,628.0781403156388
175,Robert Huth,0,1,1936,2,5,44,73.2,64.784741555301
176,David Jones,0,0,86,3,0,1,1.3,3.5016306834323743
177,Jairo Riedewald,0,0,435,2,2,23,10.6,13.463503147700067
178,Jack Rodwell,0,1,1402,3,2,36,54.8,49.98289193310262
179,Roberto Firmino,35,25,7850,5,43,483,872.3,885.8134647221254
180,Aaron Ramsey,8,14,3155,3,13,190,301.1,307.49908078257516
181,Kadeem Harris,1,1,355,3,1,23,26.0,27.988005272752368
182,Bryan Oviedo,0,0,835,2,2,20,26.5,25.535094864518733
183,Thibaut Courtois,0,0,360,1,1,12,2.7,8.280352091570457
184,Manuel Lanzini,11,10,4498,4,13,221,357.1,345.93683785013616
185,Nathan Redmond,11,7,7435,4,27,298,554.6,464.5709771998855
186,Luciano Vietto,0,4,595,5,0,32,44.7,59.09694545600247
187,Lucas Pérez,0,0,88,5,0,4,6.3,4.903392079675619
188,André Schürrle,6,0,1629,4,2,75,113.2,103.25854498134075
189,Nathaniel Clyne,0,2,3438,2,13,136,158.5,120.23309938480472
190,Joe Hart,0,0,360,1,1,15,6.4,8.280352091570457
191,Paul Dummett,0,0,2142,2,7,68,61.2,63.36864290961101
192,Nick Pope,0,0,3114,1,11,152,90.1,75.01187432688847
193,Rajiv van La Parra,3,0,2536,4,7,84,125.3,108.80019503281483
194,John Stones,0,0,4885,2,20,195,162.4,149.92048485555716
195,Grant Leadbitter,0,0,28,3,0,2,2.7,1.8191997508423707
196,Ethan Ampadu,0,0,10,2,0,1,0.7,-0.9592349953018111
197,Stephen Ireland,0,0,90,4,0,1,2.7,4.994550651528202
198,Nathaniel Clyne,0,2,3323,2,12,129,152.4,115.65691151725034
199,Nemanja Matic,1,1,4347,3,18,117,171.7,167.57237912277327
200,Oleksandr Zinchenko,0,0,530,2,3,16,28.3,16.834819102999745
201,Kelechi Iheanacho,4,3,475,5,1,47,84.8,65.50462291430215
202,Stephen Kingsley,0,0,585,2,2,19,16.7,18.22190017755335
203,Jan Vertonghen,1,1,6682,2,32,288,255.9,226.60642135357335
204,Artur Boruc,0,0,1080,1,3,43,25.6,29.194742799052463
205,Matteo Darmian,0,0,2137,2,13,110,53.9,73.04454146515168
206,Tom Cleverley,0,2,1220,3,2,39,53.7,52.65567480631604
207,Stefano Okaka,5,0,1022,5,2,51,95.8,74.30408769205673
208,Philip Billing,0,0,600,3,3,16,15.0,25.23341816705775
209,Vincent Kompany,4,1,2590,2,13,136,114.4,127.85297926045106
210,Sam Byram,0,1,1495,2,3,34,53.9,52.356064168378694
211,Sam Field,1,0,713,3,5,28,27.6,43.30314497655327
212,Alex McCarthy,0,0,2970,1,8,105,65.0,74.26989812131305
213,Callum Hudson-Odoi,0,0,27,4,0,2,3.8,3.1627732543281484
214,Andy King,2,1,1979,3,1,64,76.5,86.4820820611764
215,Nordin Amrabat,0,3,2289,4,5,71,121.9,104.42825309955542
216,Luka Milivojevic,12,2,4303,3,13,189,210.4,260.23558293732856
217,Nathan Aké,6,4,5086,2,13,199,228.6,237.4687301414488
218,Matt Doherty,3,4,2046,2,6,102,145.0,127.48643018416817
219,Nathan Dyer,0,1,514,4,1,23,28.7,25.760041082740287
220,Damien Delaney,0,2,1859,2,3,48,56.9,71.38384656906831
221,Daryl Janmaat,5,3,3953,2,5,129,196.8,190.2628089226801
222,Frederico Rodrigues de Paula Santos,0,0,255,3,1,16,11.4,10.639043582130455
223,Michy Batshuayi,1,1,84,5,0,16,15.7,18.370167847995333
224,Anthony Knockaert,1,1,1336,4,7,53,81.4,73.45963545548796
225,Gary Cahill,6,0,5399,2,26,253,199.0,219.01469708164342
226,Dominic Calvert-Lewin,11,12,3645,5,11,188,236.1,328.96265968281267
227,Alex Oxlade-Chamberlain,2,7,1890,3,4,95,168.3,133.5526729097853
228,Dale Stephens,1,3,4474,3,13,122,142.4,175.19812463035038
229,Michael Keane,2,1,2610,2,7,89,129.5,102.45514425303368
230,Lys Mousset,0,1,377,5,2,21,20.3,23.280545733794654
231,Michael Keane,1,0,1440,2,3,43,77.8,51.66437014056965
232,Alfie Mawson,5,0,4410,2,13,159,166.8,167.6617148923139
233,Danny Welbeck,7,4,1885,5,7,106,148.6,156.0846619847324
234,Kristoffer Nordfeldt,0,0,90,1,0,3,2.5,0.9318488846092379
235,Christian Atsu,2,4,3022,4,11,120,178.0,163.6121592465649
236,Nampalys Mendy,0,0,269,3,1,6,4.0,11.018229986137822
237,Jordan Ayew,2,6,2152,5,10,81,114.6,162.3993113781643
238,Harry Arter,2,4,3833,3,12,108,160.9,177.3180044145698
239,Shane Duffy,0,2,3382,2,10,108,151.6,112.82757872972032
240,Axel Tuanzebe,0,0,304,2,2,15,7.8,9.030011290250236
241,John Ruddy,0,0,90,1,1,7,2.7,-4.82633067365324
242,Joel Matip,3,0,4637,2,19,206,196.0,170.40436842278768
243,Scott Dann,3,1,1710,2,2,58,94.3,88.03905564658305
244,Javier Manquillo,0,0,642,2,0,12,16.6,19.54605080692681
245,Marcos Alonso,12,7,5368,2,27,327,347.2,334.3472521379803
246,Billy Jones,0,0,1733,2,4,39,84.9,49.81900350761939
247,Kevin Long,1,2,2133,2,5,76,93.4,89.19366255636095
248,Vicente Guaita,0,0,1124,1,5,54,20.0,23.430312420869114
249,Daniel Amartey,1,1,2798,3,8,81,87.0,104.56707216382934
250,James Tomkins,4,0,3466,2,10,132,123.7,133.28650265086674
251,Lynden Gooch,0,0,323,4,1,10,14.5,13.903530270731828
252,Morgan Gibbs-White,0,1,473,3,2,29,20.2,24.83326522163769
253,Chung-yong Lee,0,1,437,4,2,23,23.7,25.8690724380697
254,Gylfi Sigurdsson,5,6,1797,4,2,101,174.1,146.68568049189554
255,Theo Walcott,12,4,2219,4,8,150,222.2,217.06758046692045
256,Harry Arter,2,4,4095,3,14,116,170.4,189.33630287766857
257,Philippe Coutinho,13,8,2228,4,8,171,306.5,251.9892626159396
258,Jamie Vardy,8,5,1954,5,3,106,132.7,169.82653854034618
259,Jefferson Montero,0,1,347,4,0,16,31.1,18.801381529352646
260,Nathan Redmond,8,4,4926,4,20,203,397.1,298.14880542357963
261,Robert Kenedy Nunes do Nascimento,2,2,953,3,6,52,72.4,72.88865237327254
262,Joel Matip,1,0,3177,2,12,121,134.2,104.81304766065713
263,Pape Souaré,0,0,270,2,0,6,9.7,8.025520379602469
264,Ryan Fraser,7,11,3137,4,8,169,221.9,260.9711183060179
265,Stefano Okaka,2,0,197,5,0,17,23.8,22.92072208210929
266,Benjamin Mendy,0,1,360,2,2,35,27.2,17.347286349364538
267,Winston Reid,2,3,2947,2,11,123,113.4,135.59077300231348
268,Danny Rose,2,3,1530,2,8,84,99.6,90.51527260275085
269,Sergio Romero,0,0,270,1,3,30,10.3,-7.377428612206408
270,Wayne Rooney,3,5,1104,5,4,64,122.7,104.31825376689584
271,Joel Ward,0,1,1347,2,1,31,48.0,48.4990539667904
272,Chung-yong Lee,0,0,185,4,2,9,13.7,13.304291319797148
273,Joe Bennett,0,1,1858,2,6,61,58.7,64.16972639572427
274,Lazar Markovic,0,0,45,4,0,1,2.3,3.6856603239322556
275,Mohamed Elneny,0,2,1846,3,6,58,88.9,77.52390253618027
276,Robert Snodgrass,7,2,1635,4,2,99,147.1,126.73657821503136
277,Rajiv van La Parra,3,0,2536,4,7,84,125.3,108.80019503281483
278,Michael Kightly,0,0,104,4,0,6,1.5,5.402412731993001
279,Adrian Mariappa,0,0,2581,2,7,70,76.1,72.30966522916745
280,Callum Wilson,6,1,1361,5,6,63,82.2,103.922291586641
281,Vincent Kompany,3,0,1090,2,6,65,51.4,62.308543165158866
282,Tom Carroll,0,2,780,3,2,30,37.6,39.852009175884376
283,Kevin De Bruyne,13,37,5188,4,24,376,630.1,606.6466564769978
284,Jan Kirchhoff,0,1,433,3,0,12,10.9,19.479873958632467
285,Riyad Mahrez,3,3,1263,4,3,58,104.1,91.18466620899855
286,Ashley Westwood,0,0,1396,3,2,40,43.1,41.699347377805225
287,Christian Atsu,2,4,2008,4,6,87,129.3,121.6297380491002
288,Danny Simpson,0,3,5385,2,14,143,141.5,176.9391647990198
289,Daryl Janmaat,5,3,4862,2,7,152,233.5,219.37520118884862
290,Simon Francis,0,1,1948,2,6,56,86.6,66.2862394149013
291,Aleksandar Mitrovic,1,0,180,5,0,24,15.1,15.247857637138079
292,Alexis Sánchez,21,11,3060,4,12,255,421.6,386.55122838620827
293,Fabian Delph,2,1,874,3,3,41,42.4,56.60877803445358
294,Ashley Young,2,7,3294,2,13,130,172.9,182.36597325489313
295,Raheem Sterling,31,36,5951,4,28,473,696.1,711.951262469828
296,Mohamed Elneny,0,1,446,3,1,18,19.0,21.71455704512114
297,Mark Noble,0,0,90,3,0,5,0.7,3.6168129796325523
298,Matteo Darmian,0,0,1866,2,12,99,45.0,64.03157152465786
299,Seamus Coleman,4,4,2316,2,10,133,120.3,146.2082438085003
300,Robbie Brady,1,2,288,3,0,25,23.6,29.64257802206486
301,Craig Dawson,4,0,4086,2,9,134,173.2,145.94168474618698
302,Declan Rice,0,0,165,3,0,5,3.1,5.758333495816487
303,Henrikh Mkhitaryan,4,1,1072,4,8,66,119.2,96.5078990458947
304,Joshua King,29,8,6024,5,20,341,506.4,503.66547813399194
305,Islam Slimani,7,3,1100,5,5,75,98.9,115.31080558787147
306,Harry Arter,0,2,1213,3,4,35,44.2,56.59979312403666
307,Damien Delaney,0,0,90,2,0,8,1.6,1.907595693344251
308,Matty James,0,0,991,3,4,26,31.4,37.38519501386614
309,Edimilson Fernandes,0,1,1279,3,3,45,50.0,48.42086521429995
310,Steven Defour,1,3,391,3,3,33,38.3,43.3869790721265
311,Ryan Shawcross,2,3,4441,2,11,129,180.7,169.55037714746516
312,Floyd Ayité,0,0,161,4,0,8,2.6,7.067400913715794
313,Harry Winks,2,2,2830,3,10,113,116.2,130.68619267753382
314,Juan Mata,9,6,2608,4,18,170,276.1,245.55568211333264
315,Pape Souaré,0,0,279,2,0,8,9.9,8.320516385372477
316,Matthew Lowton,0,2,2610,2,7,80,112.3,91.82030521729307
317,Kevin Mirallas,4,8,2209,4,11,124,193.3,195.02195781940478
318,Martín Montoya,0,1,2070,2,3,42,76.5,67.3672096996507
319,Joel Ward,0,2,4631,2,9,113,143.8,150.40534381318287
320,Alexandre Lacazette,10,4,1856,5,8,113,211.0,177.95549538313838
321,Pedro Rodríguez Ledesma,3,5,681,4,6,63,61.3,90.54686239430404
322,Stephen Kingsley,0,0,495,2,2,18,14.2,15.404951357850159
323,Ander Herrera,3,11,4992,3,23,201,304.1,323.4394166322448
324,Christian Eriksen,0,3,683,4,4,33,68.1,52.02939979100638
325,Marvin Zeegelaar,0,0,90,2,1,22,4.0,1.5536292617293235
326,Glen Johnson,0,0,934,2,3,33,30.4,28.986756498866022
327,Sadio Mané,4,2,717,4,1,48,75.3,70.41557060833358
328,Yerry Mina,1,0,696,2,2,29,23.8,31.025197640302636
329,Sam McQueen,0,1,742,2,2,35,27.4,30.53703245783698
330,Wayne Hennessey,0,0,4950,1,13,191,123.9,122.72103016743242
331,Sam McQueen,0,1,616,2,1,23,20.8,26.597839759145785
332,Joel Matip,1,0,1171,2,3,44,47.3,44.88187549409979
333,Ademola Lookman,1,3,994,4,2,55,76.1,64.80358307365624
334,James Tarkowski,0,0,163,2,0,13,10.9,4.441150204059518
335,Jack Wilshere,0,2,1672,3,5,54,102.6,70.6842942399862
336,Arouna Koné,0,0,44,5,0,3,3.7,3.318966330687269
337,Lee Peltier,0,0,282,2,1,9,7.0,8.306157889329597
338,Jay Fulton,0,0,624,3,3,17,16.6,25.809729402395845
339,James Collins,1,0,630,2,1,20,32.0,28.869651116075296
340,Sofiane Feghouli,2,3,896,4,1,45,70.1,67.57849218079329
341,Marko Grujic,0,0,57,3,0,7,8.0,2.663360682152625
342,Artur Boruc,0,0,1440,1,4,61,36.0,38.57104333366419
343,Mohamed Elneny,0,2,1559,3,6,48,73.6,70.98174505854968
344,Ryan Fraser,3,9,2034,4,7,108,135.0,174.35697310819384
345,Marko Arnautovic,6,6,2633,5,9,117,209.5,201.46883655976407
346,Junior Stanislas,3,3,416,4,2,41,40.4,59.3406070814152
347,Orestis Karnezis,0,0,31,1,0,0,0.1,-1.9679126625185388
348,Jonjoe Kenny,0,3,2391,2,6,70,87.5,95.08612767703174
349,Jonas Lössl,0,1,5117,1,13,205,137.6,137.30334885666838
350,Olivier Giroud,10,4,1039,5,3,111,128.7,133.71218331418075
351,Lewis Cook,0,4,3385,3,7,97,139.0,138.67663978306345
352,Jordy Clasie,1,1,932,3,2,36,32.6,46.57436678735748
353,Jay Fulton,0,0,330,3,2,10,9.9,15.393222781139634
354,Ryan Bertrand,3,10,6812,2,24,260,316.8,316.58577401687245
355,Oleksandr Zinchenko,0,0,620,2,4,19,37.7,20.128471218794004
356,Isaac Hayden,2,3,2561,3,8,91,123.5,127.65073758839918
357,Kevin Stewart,0,0,19,3,0,4,0.4,1.5559617388988514
358,Bruno Martins Indi,1,0,3724,2,11,114,115.3,112.8872066714542
359,Benik Afobe,0,0,23,5,0,1,1.4,2.569161582338655
360,Fabian Delph,0,0,134,3,0,13,6.3,4.8771801953459075
361,Junior Stanislas,4,6,1099,4,4,75,95.0,114.2640525957681
362,Dominic Calvert-Lewin,0,0,65,5,0,11,3.7,4.0728530215129926
363,Maya Yoshida,3,2,4119,2,13,155,170.5,165.09281067968607
364,Mark Noble,7,2,5389,3,16,174,220.9,253.82982995953893
365,Marc Albrighton,5,15,5145,3,16,218,325.2,353.74500199343214
366,Joshua King,29,9,6749,5,21,367,551.6,529.8212708575411
367,Emre Can,3,1,1031,3,4,52,82.6,72.60571055257418
368,Charlie Daniels,0,0,180,2,0,5,9.1,5.0205368499859
369,Gareth McAuley,3,0,1350,2,3,59,59.5,68.69577067460074
370,Matteo Darmian,0,0,1866,2,12,107,45.0,64.03157152465786
371,Víctor Valdés,0,0,630,1,1,27,11.1,19.806751065261203
372,Max Meyer,1,3,983,4,4,47,76.1,68.91855314966917
373,David Marshall,0,0,360,1,0,9,12.9,13.230839152143968
374,Luciano Vietto,1,4,980,5,1,47,85.6,81.58053253238991
375,Claudio Bravo,0,0,2192,1,7,83,33.4,54.85196838809358
376,Mohamed Salah,34,14,3331,4,18,340,523.2,547.7005858956757
377,Theo Walcott,10,3,1963,4,8,126,184.7,185.41761375845346
378,Manuel Agudo Durán,3,3,576,4,2,45,59.7,65.21333845596865
379,Toby Alderweireld,0,0,689,2,4,31,30.0,22.402505548491547
380,Demarai Gray,4,5,2231,4,7,115,151.2,155.9156521403463
381,Matthew Lowton,0,5,5715,2,18,186,226.7,203.38365484567913
382,Kadeem Harris,1,0,36,3,0,13,7.7,10.927901177493059
383,Daryl Janmaat,2,1,1614,2,2,51,78.8,75.53307650413672
384,Branislav Ivanovic,0,1,545,2,1,19,28.5,24.252926342494728
385,Laurent Depoitre,6,3,2763,5,4,125,149.5,185.46678371857647
386,Mathew Ryan,0,0,4950,1,13,206,131.1,122.72103016743242
387,Nathaniel Clyne,0,2,2880,2,8,104,137.0,99.07158104380318
388,Aiden O'Neill,0,0,85,3,0,3,2.1,3.4728187609787913
389,Nathan Dyer,0,0,6,4,0,1,0.1,2.5530437087211926
