,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,ict,ict_pred
44682,Philippe Coutinho,5,6,960,4,3,78,144.9,114.96411815946844
44683,Edimilson Fernandes,0,0,182,3,1,6,8.3,8.305928840019666
44684,Juan Foyth,1,0,615,2,2,26,23.4,27.980112490143085
44685,Ben Foster,0,0,2250,1,5,86,60.7,60.356446192393335
44686,Oscar dos Santos Emboaba Junior,0,1,455,4,1,17,42.2,23.656556807582593
44687,James Milner,10,11,6229,3,24,294,479.9,441.38303716577195
44688,Kevin Long,1,3,2223,2,5,76,97.4,100.58225681940056
44689,Henrikh Mkhitaryan,5,6,2268,4,19,130,210.6,191.510282105344
44690,Claudio Bravo,0,0,720,1,2,36,15.4,19.039666361683416
44691,Ken Sema,0,0,48,3,0,3,3.2,2.2573559132439307
44692,Marcos Rojo,1,0,2137,2,10,93,85.0,78.39284095188601
44693,Roberto Firmino,25,19,5445,5,24,354,640.2,599.6838363317387
44694,Callum Hudson-Odoi,0,0,27,4,0,2,3.8,2.472400653409432
44695,Glen Johnson,0,0,1957,2,6,56,62.8,58.4271901053682
44696,Jacob Murphy,1,2,1238,4,3,58,58.9,67.80460766353005
44697,Denis Suárez,0,0,67,3,0,4,1.4,2.8224820413495433
44698,Florian Lejeune,0,0,843,2,1,15,29.2,25.55973112751137
44699,Lucas Digne,3,2,1429,2,4,74,116.2,86.98699132527189
44700,Kevin Stewart,0,0,20,3,0,4,0.4,1.4211123132213643
44701,Granit Xhaka,6,13,7624,3,26,262,437.7,444.9561849308694
44702,Oscar dos Santos Emboaba Junior,0,1,455,4,1,17,42.2,23.656556807582593
44703,Willy Caballero,0,0,720,1,4,37,12.1,11.672724966521315
44704,Marc Navarro,0,0,83,2,0,1,2.2,1.9158522268676652
44705,Antonio Valencia,4,4,5584,2,29,276,281.2,234.03659541621698
44706,Cheikhou Kouyaté,0,1,1517,3,5,43,41.0,59.5619004986456
44707,Molla Wagué,0,0,45,2,0,1,0.7,0.6003077422952998
44708,Erik Lamela,1,1,595,4,4,28,62.2,44.12371163136976
44709,Jan Vertonghen,0,1,5923,2,29,255,219.2,190.84985849091242
44710,Max Meyer,1,3,1315,4,6,60,90.2,85.41876181822404
44711,Jason Denayer,0,0,1878,2,6,56,43.7,56.67683254521687
44712,Jordan Rhodes,0,0,107,5,0,5,10.8,5.449119918877194
44713,John Terry,1,0,469,2,1,21,22.1,23.26380773124154
44714,Nathan Dyer,0,1,214,4,0,12,14.6,14.045004275079513
44715,Leonardo Ulloa,1,0,552,5,2,34,47.8,28.698130291721256
44716,Callum Hudson-Odoi,0,0,88,4,0,6,4.7,4.376777715120376
44717,Uwe Hünemeier,0,0,17,2,0,1,0.9,-0.3806110463735468
44718,Eldin Jakupovic,0,0,1080,1,3,55,35.9,29.20396824327497
44719,Martín Montoya,0,0,1260,2,1,23,44.7,37.28918196564768
