player_name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW,club_name,position_index,position,season
Jonathan Hogg,0,23,0,0,0,5,0,2,18,1.3,1,0,201,0,0,151,2,0,0,0.3,1.4,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,51,0,0,1,0,0,0,0,10,0,16,0,30054,1,0,0,0,1,0,1,1664,3669,2005,44,False,0,0,16,Huddersfield Town,3,Central Midfield,2018/2019
Jonjoe Kenny,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,156,0,0,0,0,0,0,2018-12-10T20:00:00Z,10 Dec 20:00,0,0,0,0,0,18,0,0,0,0,0,0,16,0,9871,0,0,0,2,2,0,0,-123,126,249,43,True,0,0,16,Everton FC,2,Right-Back,2018/2019
Jonjo Shelvey,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,159,0,0,0,0,0,0,2018-12-09T16:00:00Z,09 Dec 16:00,0,0,0,0,0,20,0,0,0,0,0,0,16,0,27062,0,0,0,2,1,0,0,-421,103,524,53,True,0,0,16,Newcastle United,3,Central Midfield,2018/2019
Jonny Evans,0,46,0,0,0,17,0,12,40,0.3,0,0,222,0,0,157,3,2,0,4.4,23.2,0,2018-12-08T19:45:00Z,08 Dec 19:45,0,0,90,0,0,17,0,0,0,0,7,0,16,0,19658,0,1,0,2,0,20,1,-985,374,1359,48,True,0,0,16,Leicester City,2,Centre-Back,2018/2019
Jordan Ayew,0,2,0,0,0,0,0,0,2,0.5,0,0,505,0,0,160,1,0,0,0,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,24,0,0,19,0,0,0,0,0,0,16,0,12058,2,0,0,2,3,0,1,-318,172,490,57,False,0,0,16,Crystal Palace,5,Centre-Forward,2018/2019
Jordan Henderson,0,14,0,0,0,4,0,0,11,1,1,0,249,0,0,152,1,0,0,0.4,2.8,0,2018-12-08T12:30:00Z,08 Dec 12:30,0,0,9,0,0,2,0,0,0,0,2,0,16,0,35415,1,1,0,4,0,0,1,-130,174,304,53,False,0,0,16,Liverpool FC,3,Central Midfield,2018/2019
Jordan Hugill,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,160,0,0,0,0,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,0,0,0,7,0,0,0,0,0,0,16,0,814,0,0,0,2,3,0,0,-7,1,8,50,True,0,0,16,West Ham United,5,Centre-Forward,2018/2019
Jordan Pickford,0,29,0,0,0,14,0,2,14,0,0,0,154,0,0,156,0,2,0,1.5,14.6,0,2018-12-10T20:00:00Z,10 Dec 20:00,0,0,90,0,0,18,0,0,0,0,9,0,16,2,940510,0,0,0,2,2,0,1,4550,18454,13904,50,True,0,0,16,Everton FC,1,Goalkeeper,2018/2019
Jordon Ibe,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,152,0,0,0,0,0,0,2018-12-08T12:30:00Z,08 Dec 12:30,0,0,0,0,0,12,0,0,0,0,0,0,16,0,13018,0,0,0,4,0,0,0,-175,71,246,50,True,0,0,16,AFC Bournemouth,4,Right Winger,2018/2019
Jorge Luiz Frello Filho,0,37,0,0,0,7,1,2,32,1.8,0,0,459,0,0,155,1,0,0,0.4,2.2,0,2018-12-08T17:30:00Z,08 Dec 17:30,0,0,90,0,0,13,0,0,0,0,4,0,16,0,465378,1,0,0,0,2,0,2,-24684,1685,26369,49,True,0,1,16,Chelsea FC,3,Defensive Midfield,2018/2019
