,GW,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,fpl_pred
2951,55,Divock Origi,7,4,1478,5,7,97,91.08829673832267
2952,49,Joel Matip,2,0,3447,2,13,137,131.53856989142653
2953,34,Winston Reid,2,3,2317,2,7,91,91.25749112225054
2954,62,Jay Fulton,0,0,707,3,3,20,19.689488741897208
2955,35,Martín Montoya,0,1,2160,2,3,44,50.32132892596843
2956,38,Mark Noble,3,0,2389,3,8,71,81.60246332438555
2957,19,Simone Zaza,0,0,459,5,2,10,15.851871694003862
2958,8,Rajiv van La Parra,0,0,425,4,1,11,13.349290574960435
2959,86,Tom Cleverley,1,5,3748,3,9,113,113.04206122539745
2960,94,Antonio Valencia,4,4,5584,2,29,276,277.22289421802543
2961,53,James Milner,7,5,3802,3,14,169,167.77358030098839
2962,51,Charlie Austin,9,1,1151,5,6,90,80.26741944306669
2963,98,Marc Albrighton,6,16,6155,3,19,251,236.9289614553229
2964,16,Andrea Ranocchia,2,2,1330,2,3,55,51.33728953138956
2965,36,Jonathan Leko,0,1,117,4,0,11,9.865945368106665
2966,32,Tim Ream,0,0,1615,2,2,29,35.09378333032501
2967,31,Neeskens Kebano,0,0,66,4,0,5,4.21861852985036
2968,56,Jonjo Shelvey,1,5,2964,3,9,95,99.1886078657214
2969,108,Adam Lallana,8,8,3032,4,13,175,160.88599587848393
2970,30,Eric Dier,1,0,2341,3,12,67,80.90220690145117
2971,75,Geoff Cameron,0,1,3151,3,8,91,76.34529721178541
2972,23,David Button,0,0,360,1,1,15,13.751826818604531
2973,15,Sam McQueen,0,1,480,2,1,18,15.177148266025142
2974,24,Lewis Grabban,0,1,60,5,0,6,7.968712056342561
2975,10,Bruno Saltor Grau,0,0,736,2,3,28,24.954179915769252
2976,106,Kurt Zouma,2,3,5120,2,12,171,150.87220465238818
2977,104,Victor Wanyama,5,2,4006,3,15,142,147.79563988773538
2978,10,Cenk Tosun,4,0,499,5,1,38,35.3718027527774
2979,38,Leon Britton,0,0,1163,3,5,32,32.69162375507834
2980,101,Jamie Vardy,40,13,7673,5,23,430,420.89739193581534
2981,34,David Nugent,0,0,43,5,0,4,4.377834443091487
2982,40,Nampalys Mendy,0,0,269,3,1,6,7.729597009688099
2983,10,Tomer Hemed,2,1,435,5,2,26,28.398345433478177
2984,40,Stephen Ward,2,1,3410,2,8,100,106.34202071853872
2985,98,Seamus Coleman,5,5,4847,2,18,218,216.5430813858447
2986,27,Raúl Jiménez,10,7,2208,5,7,131,130.5325440807486
2987,73,Pedro Obiang,3,2,3321,3,9,108,104.80489274503441
2988,51,Sergio Agüero,29,8,3091,5,14,250,246.2637443143252
2989,72,Yohan Cabaye,4,8,4167,3,12,154,156.15182403150123
2990,91,Harry Winks,1,2,1789,3,6,78,60.882914784821054
2991,10,Lee Grant,0,0,720,1,3,33,32.73453710430382
2992,94,Timothy Fosu-Mensah,0,0,2191,2,3,52,48.303256932725645
2993,16,Christian Eriksen,5,5,1305,4,6,86,87.22701251258636
2994,73,Cesc Fàbregas,7,19,3460,3,14,204,197.08128559632348
2995,69,Chris Wood,18,3,3784,5,16,211,213.92508133255012
2996,10,Mousa Dembélé,0,0,279,3,2,8,8.768151030787447
2997,41,Pierre-Emerick Aubameyang,26,10,3141,5,9,245,250.7436501070756
2998,103,Eric Bailly,1,0,3611,2,21,173,172.83105157168143
2999,73,Ibrahim Afellay,0,0,546,3,0,21,13.120931835752103
3000,16,Abel Hernández,1,1,671,5,2,24,29.71166761830915
3001,70,Andrew Robertson,1,15,4623,2,27,290,290.6252394535326
3002,33,Cesc Fàbregas,4,10,1049,3,2,88,85.44613197667277
3003,14,Frederico Rodrigues de Paula Santos,1,0,482,3,1,20,19.338116930157923
3004,29,Oliver Burke,0,2,326,4,0,21,20.05154057748284
3005,84,Raheem Sterling,29,33,5681,4,27,428,428.0666662765119
3006,65,Adam Lallana,8,7,2499,4,10,147,143.93052255813598
3007,25,Sebastian Prödl,1,2,2005,2,4,59,62.04453200831466
3008,20,Stewart Downing,1,2,1104,3,4,46,43.63205384565873
3009,78,Demarai Gray,4,7,2903,4,9,143,127.05557209982703
3010,11,Grant Leadbitter,0,0,28,3,0,1,1.5800687069868697
3011,74,Ben Foster,0,0,6570,1,15,224,222.93818746604381
3012,15,Tom Davies,0,0,43,3,0,3,1.931046016972049
3013,7,Christian Fuchs,0,1,630,2,3,26,26.02423358719352
3014,20,Christian Atsu,2,4,1191,4,3,57,61.929902961811905
3015,32,Florin Andone,3,0,688,5,1,34,34.82734551523953
3016,34,Glenn Murray,12,0,2038,5,7,109,112.63521256907865
3017,43,Winston Reid,2,3,2857,2,11,117,120.97302878007613
3018,56,James Collins,2,0,1982,2,8,83,83.55362678696395
3019,41,Ederson Santana de Moraes,0,1,3465,1,17,173,163.88050392460468
3020,18,Carl Jenkinson,0,0,82,2,0,2,1.5961099682368403
3021,34,Davy Klaassen,0,0,193,4,0,5,8.096921582424784
3022,39,Aaron Mooy,4,3,3156,3,10,115,116.9337540099738
3023,88,Rob Holding,0,1,2220,2,8,79,76.41700910031838
3024,109,Craig Cathcart,3,1,4356,2,9,133,128.33511012683772
3025,73,James Tarkowski,0,1,3088,2,11,117,105.19752484447505
3026,49,Héctor Bellerín,1,6,3493,2,14,157,152.41767354735208
3027,37,Geoff Cameron,0,0,1539,3,5,46,39.9737922145477
3028,53,Andy Carroll,7,2,1851,5,6,77,89.57328502567162
3029,14,Romelu Lukaku,7,3,1106,5,3,73,75.16426114182562
3030,55,Jake Livermore,1,2,4300,3,8,113,105.94577020103327
3031,4,Saido Berahino,0,0,243,5,2,6,10.49665755777552
3032,83,Stephen Ward,2,2,5918,2,18,200,190.58089646632368
3033,17,Sam Vokes,4,1,1244,5,3,55,56.70633353997124
3034,61,Jonathan Hogg,0,1,3831,3,11,89,92.22210919596216
3035,57,Jairo Riedewald,0,0,435,2,2,23,15.590096933118112
3036,24,Jonjo Shelvey,0,1,1200,3,2,28,32.556483766583625
3037,29,Lee Grant,0,0,2430,1,9,104,106.06084773593358
3038,29,Molla Wagué,1,0,438,2,1,19,17.03164263174685
3039,5,Phil Bardsley,0,0,270,2,0,3,4.447068811991574
3040,54,Gabriel Fernando de Jesus,14,9,2165,5,9,153,154.61355154956289
3041,20,Harry Arter,0,2,1753,3,6,46,53.600249839759044
3042,27,Jesse Lingard,1,2,753,4,4,40,34.74715022812178
3043,56,Ruben Loftus-Cheek,1,3,1205,3,3,50,47.89371461191058
3044,42,Tom Carroll,1,2,1744,3,7,62,62.22423295385396
3045,23,Lewis Dunk,0,0,2070,2,8,60,71.12364531705481
3046,41,Raheem Sterling,9,14,2656,4,9,159,175.50843131482577
3047,16,Vito Mannone,0,0,180,1,0,3,3.777865323825118
3048,5,Michail Antonio,5,0,411,4,1,38,47.652124117028336
3049,105,James McCarthy,1,1,817,3,0,29,28.84573857897638
3050,72,Davy Pröpper,1,5,5664,3,13,159,161.8110925246316
3051,94,Troy Deeney,18,7,6018,5,14,249,248.37827973162268
3052,79,Daniel Sturridge,6,6,1330,5,6,93,90.23056005126881
3053,76,Christian Fuchs,2,5,5020,2,12,161,157.61541418762567
3054,31,Alberto Moreno,0,1,290,2,0,12,7.958465301474796
3055,104,Phil Jagielka,3,3,4457,2,13,168,159.35649279370546
3056,45,Olivier Giroud,13,5,1339,5,4,127,116.06286509600153
3057,67,Dominic Calvert-Lewin,5,8,2218,5,6,105,114.85983901750768
3058,28,Álvaro Arbeloa,0,0,258,2,0,0,4.262123161432772
3059,33,Tim Ream,0,0,1686,2,2,30,36.162517188132455
3060,50,Shane Long,3,4,1840,5,4,78,79.48489879061992
3061,9,Sofiane Feghouli,0,0,118,4,0,2,5.82199838919032
3062,90,Roberto Pereyra,12,8,4005,3,7,196,199.72507170799878
3063,25,Robert Kenedy Nunes do Nascimento,0,0,16,3,0,1,1.298685376540984
3064,35,Jack Rodwell,0,1,1402,3,2,36,36.41141926618346
3065,81,Calum Chambers,2,1,3315,2,9,110,110.6479268926877
3066,51,Andreas Christensen,0,0,2067,2,8,79,71.07351594946604
3067,13,Romain Saïss,0,0,16,3,0,2,1.298685376540984
3068,55,Jack Cork,3,2,4842,3,16,141,143.91274263826426
3069,48,Adam Smith,1,5,3905,2,9,120,122.72364251614209
3070,22,Michael Kightly,0,0,104,4,0,6,5.392417518658753
3071,46,Aymeric Laporte,2,2,3322,2,18,166,163.23512653890813
3072,71,Yohan Benalouane,0,0,917,2,4,27,32.410906682802676
3073,25,Glen Johnson,0,0,1237,2,4,38,38.122608452484485
3074,14,Joe Bennett,0,1,810,2,2,24,24.822508735613013
3075,58,Jonjo Shelvey,1,5,2975,3,9,96,99.37761286623959
3076,12,Enner Valencia,0,1,255,5,1,12,14.153924739236388
3077,6,Mousa Dembélé,0,0,73,3,1,3,3.120392470729586
3078,75,Aaron Lennon,0,5,2325,4,8,85,79.86151037261175
3079,23,Jordon Mutch,0,0,53,3,0,4,2.1645593138058636
3080,16,Tom Huddlestone,0,1,801,3,1,22,23.342549769099122
3081,44,Jon Flanagan,0,0,360,2,1,9,10.166053783677068
3082,15,John Terry,0,0,367,2,1,11,10.279309721512028
3083,24,Bojan Krkic,3,0,475,5,0,30,29.483040824883773
3084,83,Seamus Coleman,4,5,3711,2,14,178,170.32921258819312
3085,96,Raheem Sterling,34,39,6476,4,29,500,496.7484560057013
3086,67,Lee Grant,0,0,2790,1,9,111,117.87788710996705
3087,69,Nampalys Mendy,0,0,269,3,1,6,7.729597009688099
3088,60,Tom Cleverley,1,5,3643,3,8,109,109.69678789147167
3089,40,James Morrison,5,2,1741,3,4,84,82.81460055531352
3090,82,James Milner,8,9,5384,3,21,243,232.93540796736272
3091,11,Fabián Balbuena,1,0,990,2,1,29,26.26340445272477
