"","player_name","club_name","recent_GW","minutes","position_index","goals_scored","assists","clean_sheets","total_points"
"395","Trent Alexander-Arnold","Liverpool FC",12,779,2,0,1,1,24
"396","Tyler Roberts","Leeds United",12,231,4,0,0,0,7
"397","Tyrick Mitchell","Crystal Palace",12,540,2,0,1,1,15
"398","Tyrone Mings","Aston Villa",10,900,2,2,1,5,52
"399","Vicente Guaita","Crystal Palace",12,1080,1,0,0,1,32
"400","Victor Lindelöf","Manchester United",11,900,2,0,0,3,30
"401","Virgil van Dijk","Liverpool FC",12,370,2,1,0,1,16
"402","Vitor Ferreira","Wolverhampton Wanderers",12,37,4,0,0,0,4
"403","Vladimir Coufal","West Ham United",9,804,2,0,2,3,36
"404","Wes Morgan","Leicester City",12,16,2,0,0,0,3
"405","Wesley Fofana","Leicester City",9,720,2,0,0,3,26
"406","Wilfred Ndidi","Leicester City",12,280,3,0,0,2,9
"407","Wilfried Zaha","Crystal Palace",12,890,4,7,3,1,74
"408","Willian Borges Da Silva","Arsenal FC",12,792,4,0,4,2,37
"409","Willy Boly","Wolverhampton Wanderers",12,990,2,0,0,4,34
"410","Willy Caballero","Chelsea FC",12,90,1,0,0,0,1
"411","Xherdan Shaqiri","Liverpool FC",12,51,4,0,1,0,5
"412","Yerry Mina","Everton FC",12,900,2,1,0,2,28
"413","Youri Tielemans","Leicester City",12,1080,3,3,0,4,43
"414","Yves Bissouma","Brighton & Hove Albion",12,969,3,1,0,2,24
