"","player_name","club_name","recent_GW","minutes","position_index","goals_scored","assists","clean_sheets","total_points"
"91","Daniel Castelo Podence","Wolverhampton Wanderers",12,813,4,2,2,5,44
"92","Daniel Ceballos Fernández","Arsenal FC",12,692,3,0,1,2,24
"93","Daniel James","Manchester United",11,177,4,0,0,0,3
"94","Danny Ings","Southampton FC",12,759,5,6,3,4,60
"95","Danny Welbeck","Brighton & Hove Albion",7,424,5,1,2,1,24
"96","Dara O'Shea","West Bromwich Albion",12,550,2,0,0,0,7
"97","Darnell Furlong","West Bromwich Albion",12,968,2,1,2,2,33
"98","David de Gea","Manchester United",11,855,1,0,0,3,27
"99","David Luiz Moreira Marinho","Arsenal FC",12,364,2,0,0,0,7
"100","David McGoldrick","Sheffield United",12,520,5,2,0,2,25
"101","Davinson Sánchez","Tottenham Hotspur",12,360,2,0,0,0,5
"102","Dean Henderson","Manchester United",11,135,1,0,0,0,4
"103","DeAndre Yedlin","Newcastle United",11,4,2,0,0,0,1
"104","Declan Rice","West Ham United",12,1080,3,0,1,4,30
"105","Denis Odoi","Fulham FC",12,270,2,0,0,0,1
"106","Dennis Praet","Leicester City",12,580,3,1,2,3,32
"107","Diego Llorente","Leeds United",10,81,2,0,0,0,0
"108","Diogo Jota","Liverpool FC",12,499,4,5,0,1,47
"109","Divock Origi","Liverpool FC",12,7,5,0,0,0,2
"110","Dominic Calvert-Lewin","Everton FC",12,1058,5,11,2,2,83
"111","Donny van de Beek","Manchester United",11,221,3,1,0,0,14
"112","Douglas Luiz Soares de Paulo","Aston Villa",10,863,3,0,1,5,23
"113","Dwight Gayle","Newcastle United",11,21,5,1,0,0,8
"114","Dwight McNeil","Burnley FC",11,990,4,0,1,4,28
"115","Eberechi Eze","Crystal Palace",12,675,4,1,3,0,37
"116","Ederson Santana de Moraes","Manchester City",11,990,1,0,0,5,43
"117","Edinson Cavani","Manchester United",8,172,5,3,1,0,23
"118","Edouard Mendy","Chelsea FC",10,720,1,0,0,5,38
"119","Emerson Palmieri dos Santos","Chelsea FC",12,8,2,0,0,0,1
"120","Emil Krafth","Newcastle United",11,259,2,0,1,0,6
"121","Emiliano Martínez","Aston Villa",11,900,1,0,0,5,53
"122","Enda Stevens","Sheffield United",12,810,2,0,0,0,10
"123","Eric Bailly","Manchester United",11,98,2,0,0,0,1
"124","Eric Dier","Tottenham Hotspur",12,990,2,0,0,5,42
"125","Eric Garcia","Manchester City",11,200,2,0,0,0,3
"126","Erik Lamela","Tottenham Hotspur",12,187,4,0,1,0,8
"127","Erik Pieters","Burnley FC",11,169,2,0,0,1,6
"128","Ethan Ampadu","Sheffield United",12,454,2,0,0,0,9
"129","Ezgjan Alioski","Leeds United",12,548,3,0,0,3,27
"130","Ezri Konsa Ngoyo","Aston Villa",10,900,2,2,0,5,49
"131","Fabián Balbuena","West Ham United",12,900,2,1,0,4,38
"132","Fabian Delph","Everton FC",12,211,3,0,0,0,6
"133","Fabian Schär","Newcastle United",11,411,2,0,0,0,8
"134","Fabio Henrique Tavares","Liverpool FC",12,842,3,0,1,3,26
"135","Federico Fernández","Newcastle United",11,900,2,0,0,2,20
"136","Fernando Luiz Rosa","Manchester City",11,289,3,0,0,1,11
"137","Fernando Marçal","Wolverhampton Wanderers",12,404,2,0,0,1,13
"138","Ferran Torres","Manchester City",11,419,4,1,1,2,22
"139","Fikayo Tomori","Chelsea FC",12,45,2,0,0,0,0
"140","Filip Krovinovic","West Bromwich Albion",9,514,4,0,0,1,15
"141","Frederico Rodrigues de Paula Santos","Manchester United",11,642,3,0,0,4,17
"142","Gabriel Fernando de Jesus","Manchester City",11,540,5,2,1,3,26
"143","Gabriel Magalhães","Arsenal FC",12,990,2,2,0,3,48
"144","Gareth Bale","Tottenham Hotspur",10,115,4,1,0,1,13
"145","Gary Cahill","Crystal Palace",12,360,2,0,0,0,7
"146","George Baldock","Sheffield United",12,1080,2,0,1,0,19
"147","Georginio Wijnaldum","Liverpool FC",12,991,3,1,1,3,35
"148","Giovani Lo Celso","Tottenham Hotspur",12,328,3,1,0,2,16
"149","Grady Diangana","West Bromwich Albion",12,694,4,1,0,1,24
"150","Granit Xhaka","Arsenal FC",12,724,3,0,0,2,16
"151","Gylfi Sigurdsson","Everton FC",12,487,4,1,1,1,27
"152","Hakim Ziyech","Chelsea FC",12,386,4,1,3,3,33
"153","Hal Robson-Kanu","West Bromwich Albion",12,137,5,0,0,0,5
"154","Hamza Choudhury","Leicester City",12,13,3,0,0,0,2
"155","Harrison Reed","Fulham FC",12,562,3,0,1,0,16
"156","Harry Kane","Tottenham Hotspur",12,1073,5,9,10,5,107
"157","Harry Maguire","Manchester United",11,990,2,1,1,3,35
"158","Harry Winks","Tottenham Hotspur",12,256,3,0,0,0,5
"159","Harvey Barnes","Leicester City",12,746,3,3,1,2,43
"160","Héctor Bellerín","Arsenal FC",12,1047,2,0,3,3,45
"161","Hélder Wander Sousa de Azevedo e Costa","Leeds United",12,668,4,2,2,2,35
"162","Heung-Min Son","Tottenham Hotspur",12,997,4,10,4,6,105
"163","Hugo Lloris","Tottenham Hotspur",12,1080,1,0,0,5,56
"164","Ian Carlo Poveda-Ocampo","Leeds United",12,181,4,0,0,0,7
"165","Ibrahima Diallo","Southampton FC",8,24,3,0,0,0,5
"166","Ilkay Gündogan","Manchester City",11,390,3,0,0,2,12
"167","Illan Meslier","Leeds United",12,1080,1,0,0,4,49
"168","Isaac Hayden","Newcastle United",11,595,3,0,0,1,12
"169","Islam Slimani","Leicester City",8,19,5,0,0,0,1
"170","Issa Diop","West Ham United",12,207,2,0,0,0,2
"171","Ivan Ricardo Neves Abreu Cavaleiro","Fulham FC",12,788,4,1,0,0,25
"172","Jack Grealish","Aston Villa",10,900,4,5,6,5,73
"173","Jack Harrison","Leeds United",12,889,4,1,3,4,40
"174","Jack O'Connell","Sheffield United",12,180,2,0,0,0,3
"175","Jack Robinson","Sheffield United",12,279,2,0,1,0,9
"176","Jack Stephens","Southampton FC",12,315,2,0,0,1,8
"177","Jacob Murphy","Newcastle United",11,374,4,1,1,0,18
"178","Jairo Riedewald","Crystal Palace",12,483,2,1,0,1,22
"179","Jake Livermore","West Bromwich Albion",12,656,3,0,0,1,12
"180","Jamaal Lascelles","Newcastle United",11,672,2,0,0,1,14
"181","Jamal Lewis","Newcastle United",11,899,2,0,0,2,21
"182","James Justin","Leicester City",12,1080,2,1,2,4,48
"183","James Maddison","Leicester City",12,612,4,3,3,3,46
"184","James McArthur","Crystal Palace",12,851,3,0,1,2,22
"185","James McCarthy","Crystal Palace",12,329,3,0,0,1,9
"186","James Milner","Liverpool FC",12,257,3,0,2,2,20
"187","James Rodríguez","Everton FC",12,841,4,3,3,1,49
"188","James Tarkowski","Burnley FC",11,810,2,0,0,4,29
"189","James Ward-Prowse","Southampton FC",12,1080,3,4,3,5,64
"190","Jamie Shackleton","Leeds United",12,168,3,0,0,1,6
"191","Jamie Vardy","Leicester City",12,918,5,10,5,3,87
"192","Jan Bednarek","Southampton FC",12,990,2,1,1,5,53
"193","Jannik Vestergaard","Southampton FC",12,945,2,3,0,5,59
"194","Jarrod Bowen","West Ham United",12,988,4,4,2,4,59
"195","Javier Manquillo","Newcastle United",11,459,2,0,0,2,16
"196","Jeff Hendrick","Newcastle United",11,760,3,1,1,2,31
"197","Jeffrey Schlupp","Crystal Palace",12,675,3,1,1,4,31
"198","Jimmy Dunne","Burnley FC",11,180,2,1,0,0,8
"199","Joachim Andersen","Fulham FC",8,540,2,0,0,1,13
"200","João Filipe Iria Santos Moutinho","Wolverhampton Wanderers",12,716,3,0,0,2,17
"201","João Pedro Cavaco Cancelo","Manchester City",11,630,2,0,1,4,37
"202","Joe Bryan","Fulham FC",12,340,2,0,1,0,9
"203","Joe Rodon","Tottenham Hotspur",7,101,2,0,0,1,9
"204","Joel Matip","Liverpool FC",12,406,2,1,0,2,24
"205","Joël Veltman","Brighton & Hove Albion",12,622,2,0,0,1,16
"206","Joel Ward","Crystal Palace",12,450,2,0,0,1,9
"207","Joelinton Cássio Apolinário de Lira","Newcastle United",11,577,5,1,2,1,26
"208","Johann Berg Gudmundsson","Burnley FC",11,239,4,0,0,2,9
"209","John Egan","Sheffield United",12,911,2,0,0,0,8
"210","John Fleck","Sheffield United",12,539,3,0,0,0,13
"211","John Lundstram","Sheffield United",12,726,3,0,1,1,18
"212","John McGinn","Aston Villa",10,900,3,1,5,5,43
"213","John Stones","Manchester City",11,360,2,0,0,3,22
"214","Jonjo Shelvey","Newcastle United",11,611,3,0,0,2,14
"215","Jonjoe Kenny","Everton FC",12,76,2,0,0,0,3
"216","Jonny Evans","Leicester City",12,799,2,0,0,3,20
"217","Jordan Ayew","Crystal Palace",12,600,5,1,1,2,25
"218","Jordan Henderson","Liverpool FC",12,685,3,0,2,1,25
"219","Jordan Pickford","Everton FC",12,990,1,0,0,2,34
"220","Jorge Luiz Frello Filho","Chelsea FC",12,455,3,3,2,2,37
"221","Josh Brownhill","Burnley FC",11,900,3,0,0,4,23
"222","Josh Onomah","Fulham FC",12,131,4,0,0,0,3
"223","Juan Mata","Manchester United",11,318,4,0,3,1,18
"224","Kai Havertz","Chelsea FC",12,690,4,1,2,3,31
"225","Kalvin Phillips","Leeds United",12,810,3,0,2,3,26
"226","Karl Darlow","Newcastle United",11,990,1,0,0,2,46
"227","Karlan Grant","West Bromwich Albion",8,569,5,1,0,3,22
"228","Kasper Schmeichel","Leicester City",12,1080,1,0,0,4,49
"229","Kean Bryan","Sheffield United",3,152,2,0,0,0,3
"230","Keinan Davis","Aston Villa",10,28,5,0,0,0,1
"231","Kelechi Iheanacho","Leicester City",12,142,5,0,0,1,6
"232","Kenny Tete","Fulham FC",12,128,2,0,1,0,2
"233","Kepa Arrizabalaga","Chelsea FC",12,270,1,0,0,0,6
"234","Kevin De Bruyne","Manchester City",11,832,4,2,6,4,56
"235","Kevin Long","Burnley FC",11,540,2,0,0,1,11
"236","Ki-Jana Hoever","Wolverhampton Wanderers",10,29,2,0,0,0,2
"237","Kieran Gibbs","West Bromwich Albion",12,180,2,0,0,0,1
"238","Kieran Tierney","Arsenal FC",12,980,2,0,0,3,29
"239","Kurt Zouma","Chelsea FC",12,990,2,4,0,5,69
"240","Kyle Bartley","West Bromwich Albion",12,720,2,1,0,1,18
"241","Kyle Edwards","West Bromwich Albion",12,114,4,0,0,0,5
"242","Kyle Walker","Manchester City",11,887,2,1,1,4,46
"243","Kyle Walker-Peters","Southampton FC",12,1080,2,0,2,5,46
"244","Leander Dendoncker","Wolverhampton Wanderers",12,901,3,0,2,5,30
"245","Leandro Trossard","Brighton & Hove Albion",12,661,4,1,2,2,30
"246","Lewis Dunk","Brighton & Hove Albion",12,810,2,0,0,1,11
"247","Liam Cooper","Leeds United",12,810,2,0,0,3,21
"248","Lucas Digne","Everton FC",12,701,2,0,5,1,34
"249","Lucas Rodrigues Moura da Silva","Tottenham Hotspur",12,371,4,1,0,1,20
"250","Luka Milivojevic","Crystal Palace",12,385,3,0,0,0,7
"251","Lukasz Fabianski","West Ham United",12,1080,1,0,0,4,58
"252","Luke Ayling","Leeds United",12,1059,2,0,0,4,30
"253","Luke Shaw","Manchester United",11,696,2,0,1,2,23
"254","Luke Thomas","Leicester City",12,180,2,0,0,0,2
"255","Lys Mousset","Sheffield United",12,36,5,0,0,0,2
"256","Mamadou Sakho","Crystal Palace",12,275,2,0,0,0,4
"257","Manuel Lanzini","West Ham United",12,61,4,1,0,0,9
"258","Marc Albrighton","Leicester City",12,440,3,0,1,1,16
"259","Marcos Alonso","Chelsea FC",12,225,2,0,0,0,3
"260","Marcus Rashford","Manchester United",11,933,4,3,4,3,52
"261","Marek Rodák","Fulham FC",12,90,1,0,0,0,1
"262","Mario Lemina","Fulham FC",12,334,3,0,0,0,10
"263","Mark Noble","West Ham United",12,88,3,0,0,0,6
"264","Marvelous Nakamba","Aston Villa",10,14,3,0,0,0,2
"265","Mason Greenwood","Manchester United",11,482,4,1,0,1,18
"266","Mason Holgate","Everton FC",12,261,2,0,0,1,8
"267","Mason Mount","Chelsea FC",12,899,4,1,4,3,45
"268","Matej Vydra","Burnley FC",11,159,5,0,0,0,8
"269","Mateo Kovacic","Chelsea FC",12,484,3,0,1,2,18
"270","Mateusz Klich","Leeds United",12,1056,3,3,3,4,52
"271","Matheus Pereira","West Bromwich Albion",12,785,4,1,2,2,29
"272","Mathew Ryan","Brighton & Hove Albion",12,990,1,0,0,2,25
